
> idfm-node-backend@1.0.0 map:isochrones:build
> tsx src/transport/isochrones/build-isochrones.ts --all --requests-per-minute 6000 --keep-archives

Walking radar: 30754 origins, 0 cached, 30754 pending, at least 6151 ORS requests.
Catalog/provider/validation changed: rebuilding scopes from verified origin checkpoints. Older caches are kept but not reused.
ORS: 950/30754 processed; 190 requests; 0 unavailable origins.
ORS: 955/30754 processed; 191 requests; 0 unavailable origins.
ORS: 960/30754 processed; 192 requests; 0 unavailable origins.
ORS: 965/30754 processed; 193 requests; 0 unavailable origins.
ORS: 970/30754 processed; 194 requests; 0 unavailable origins.
ORS: 975/30754 processed; 195 requests; 0 unavailable origins.
ORS: 980/30754 processed; 196 requests; 0 unavailable origins.
ORS: 985/30754 processed; 197 requests; 0 unavailable origins.
ORS: 990/30754 processed; 198 requests; 0 unavailable origins.
ORS: 995/30754 processed; 199 requests; 0 unavailable origins.
ORS: 1000/30754 processed; 200 requests; 0 unavailable origins.
ORS: 1005/30754 processed; 201 requests; 0 unavailable origins.
ORS: 1010/30754 processed; 202 requests; 0 unavailable origins.
ORS: 1015/30754 processed; 203 requests; 0 unavailable origins.
ORS: 1020/30754 processed; 204 requests; 0 unavailable origins.
ORS: 1025/30754 processed; 205 requests; 0 unavailable origins.
ORS: 1030/30754 processed; 206 requests; 0 unavailable origins.
ORS: 1035/30754 processed; 207 requests; 0 unavailable origins.
ORS: 1040/30754 processed; 208 requests; 0 unavailable origins.
ORS: 1045/30754 processed; 209 requests; 0 unavailable origins.
ORS: 1050/30754 processed; 210 requests; 0 unavailable origins.
ORS: 1055/30754 processed; 211 requests; 0 unavailable origins.
ORS: 1060/30754 processed; 212 requests; 0 unavailable origins.
ORS: 1065/30754 processed; 213 requests; 0 unavailable origins.
ORS: 1070/30754 processed; 214 requests; 0 unavailable origins.
ORS: 1075/30754 processed; 215 requests; 0 unavailable origins.
ORS: 1080/30754 processed; 216 requests; 0 unavailable origins.
ORS: 1085/30754 processed; 217 requests; 0 unavailable origins.
ORS: 1090/30754 processed; 218 requests; 0 unavailable origins.
ORS: 1095/30754 processed; 219 requests; 0 unavailable origins.
ORS: 1100/30754 processed; 220 requests; 0 unavailable origins.
ORS: 1105/30754 processed; 221 requests; 0 unavailable origins.
ORS: 1110/30754 processed; 222 requests; 0 unavailable origins.
ORS: 1115/30754 processed; 223 requests; 0 unavailable origins.
ORS: 1120/30754 processed; 224 requests; 0 unavailable origins.
ORS: 1125/30754 processed; 225 requests; 0 unavailable origins.
ORS: 1130/30754 processed; 226 requests; 0 unavailable origins.
ORS: 1135/30754 processed; 227 requests; 0 unavailable origins.
ORS: 1140/30754 processed; 228 requests; 0 unavailable origins.
ORS: 1145/30754 processed; 229 requests; 0 unavailable origins.
ORS: 1150/30754 processed; 230 requests; 0 unavailable origins.
ORS: 1155/30754 processed; 231 requests; 0 unavailable origins.
ORS: 1160/30754 processed; 232 requests; 0 unavailable origins.
ORS: 1165/30754 processed; 233 requests; 0 unavailable origins.
ORS: 1170/30754 processed; 234 requests; 0 unavailable origins.
ORS: 1175/30754 processed; 235 requests; 0 unavailable origins.
ORS: 1180/30754 processed; 236 requests; 0 unavailable origins.
